User_ID,What is your favorite book genre?,What is your favorite color?,What is your favorite food cuisine?,What is your favorite movie genre?,What is your favorite season?,What is your ideal vacation destination?,What is your preferred hobby?,Who is your favorite music artist?
User_1,,Orange,,,,,,
User_1,,,,,,,,The Beatles
User_1,,,,Action,,,,
User_1,,,Japanese,,,,,
User_1,,,,,,Beach,,
User_1,,,,,,,Sports,
User_1,,,,,Fall,,,
User_1,Romance,,,,,,,
User_2,,Blue,,,,,,
User_2,,,,,,,,BTS
User_2,,,,Action,,,,
User_2,,,Mexican,,,,,
User_2,,,,,,Beach,,
User_2,,,,,,,Cooking,
User_2,,,,,Winter,,,
User_2,Mystery,,,,,,,
User_3,,Purple,,,,,,
User_3,,,,,,,,Drake
User_3,,,,Comedy,,,,
User_3,,,Chinese,,,,,
User_3,,,,,,Islands,,
User_3,,,,,,,Gaming,
User_3,,,,,Spring,,,
User_3,Fantasy,,,,,,,
User_4,,Orange,,,,,,
User_4,,,,,,,,BTS
User_4,,,,Action,,,,
User_4,,,Japanese,,,,,
User_4,,,,,,Beach,,
User_4,,,,,,,Cooking,
User_4,,,,,Spring,,,
User_4,Romance,,,,,,,
User_5,,Red,,,,,,
User_5,,,,,,,,Tyler The Creator
User_5,,,,Horror,,,,
User_5,,,Indian,,,,,
User_5,,,,,,Italy,,
User_5,,,,,,,Sleeping,
User_5,,,,,Fall,,,
User_5,Fantasy,,,,,,,
User_6,,Orange,,,,,,
User_6,,,,,,,,Taylor Swift
User_6,,,,Sci-Fi,,,,
User_6,,,Mexican,,,,,
User_6,,,,,,City,,
User_6,,,,,,,Reading,
User_6,,,,,Fall,,,
User_6,Fantasy,,,,,,,
